Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
523800,0,0,0,0,0
524700,0,0,0,0,0
525600,0,0,0,0,0
526500,0,0,0,0,0
527400,0,0,0,0,0
528300,0,0,0,0,0
529200,0,0,0,0,0
530100,0,0,0,0,0
531000,0,0,0,0,0
531900,0,0,0,0,0
532800,0,0,0,0,0
533700,0,0,0,0,0
534600,0,0,0,0,0
535500,0,0,0,0,0
536400,0,0,0,0,0
537300,0,0,0,0,0
538200,0,0,0,0,0
539100,0,0,0,0,0
540000,0,0,0,0,0
540900,0,0,0,0,0
541800,0,0,0,0,0
542700,0,0,0,0,0
543600,0,0,0,0,0
544500,0,0,0,0,0
545400,0,0,0,0,0
546300,0.2873419,0.2873419,0.2873419,0.2873419,0.03554745
547200,1.9776732,1.9776732,1.9776732,1.9776732,0.24466059
548100,6.484536,6.484536,6.484536,6.484536,0.8022107
549000,15.236602,15.236602,15.236602,15.236602,1.8849404
549900,81.62504,28.759724,28.759724,85.88184,6.959577
550800,241.02567,47.020008,47.020008,231.30574,17.516642
551700,410.78455,64.98183,64.98183,352.75262,27.634047
552600,510.7241,82.02092,82.02092,391.8426,32.987892
553500,524.3002,98.00672,98.00672,362.4729,33.488243
554400,502.2599,113.62378,113.62378,317.43347,32.379616
555300,446.31396,127.11765,127.11765,264.05,29.832968
556200,431.69452,141.77745,141.77745,241.4885,29.589832
557100,451.5475,156.87866,156.87866,235.72183,30.959585
558000,476.47137,170.9507,170.9507,231.78905,32.479233
558900,491.77646,181.66928,181.66928,224.92775,33.403385
559800,482.06567,186.7316,186.7316,213.25467,33.05516
560700,425.1118,184.91943,184.91943,197.33241,30.689167
561600,333.32892,177.96033,177.96033,181.66719,26.93557
562500,243.52377,168.39929,167.98314,167.97737,23.13042
563400,191.87949,159.70476,157.19987,157.19987,20.597443
564300,169.99944,149.16588,145.89067,145.89067,18.895258
565200,147.81226,136.36923,133.50471,133.50471,17.047142
566100,127.14727,122.76535,121.18004,121.18004,15.224929
567000,110.49066,110.13388,109.95606,109.95606,13.6248455
567900,102.11458,102.295334,102.41659,102.41659,12.657002
568800,99.13152,98.793015,98.48949,98.48949,12.2135105
569700,98.18162,96.55129,94.582985,94.582985,11.873161
570600,92.9832,90.90111,87.43503,87.43503,11.095496
571500,74.27826,74.09625,73.65753,73.65753,9.145039
572400,54.331425,54.331425,54.331425,54.331425,6.7214136
573300,35.228477,35.228477,35.228477,35.228477,4.358162
574200,21.664581,21.664581,21.664581,21.664581,2.6801546
575100,13.167368,13.167368,13.167368,13.167368,1.6289527
576000,6.2811728,6.2811728,6.2811728,6.2811728,0.7770523
576900,1.6681132,1.6681132,1.6681132,1.6681132,0.20636451
577800,0,0,0,0,0
578700,0,0,0,0,0
579600,0,0,0,0,0
580500,0,0,0,0,0
581400,0,0,0,0,0
582300,0,0,0,0,0
583200,0,0,0,0,0
584100,0,0,0,0,0
585000,0,0,0,0,0
585900,0,0,0,0,0
586800,0,0,0,0,0
587700,0,0,0,0,0
588600,0,0,0,0,0
589500,0,0,0,0,0
590400,0,0,0,0,0
591300,0,0,0,0,0
592200,0,0,0,0,0
593100,0,0,0,0,0
594000,0,0,0,0,0
594900,0,0,0,0,0
595800,0,0,0,0,0
596700,0,0,0,0,0
597600,0,0,0,0,0
598500,0,0,0,0,0
599400,0,0,0,0,0
600300,0,0,0,0,0
601200,0,0,0,0,0
602100,0,0,0,0,0
603000,0,0,0,0,0
603900,0,0,0,0,0
604800,0,0,0,0,0
605700,0,0,0,0,0
606600,0,0,0,0,0
607500,0,0,0,0,0
608400,0,0,0,0,0
609300,0,0,0,0,0
610200,0,0,0,0,0
611100,0,0,0,0,0
612000,0,0,0,0,0
612900,0,0,0,0,0
613800,0,0,0,0,0
614700,0,0,0,0,0
615600,0,0,0,0,0
616500,0,0,0,0,0
617400,0,0,0,0,0
618300,0,0,0,0,0
619200,0,0,0,0,0
620100,0,0,0,0,0
621000,0,0,0,0,0
621900,0,0,0,0,0
622800,0,0,0,0,0
623700,0,0,0,0,0
624600,0,0,0,0,0
625500,0,0,0,0,0
626400,0,0,0,0,0
627300,0,0,0,0,0
628200,0,0,0,0,0
629100,0,0,0,0,0
630000,0,0,0,0,0
630900,0,0,0,0,0
631800,0,0,0,0,0
632700,1.3693035,0.93936145,0.93936145,1.6436077,0.15128765
633600,4.210275,4.210275,4.210275,4.210275,0.52085876
634500,12.591689,10.571088,10.571088,13.240054,1.4528016
635400,27.38515,20.135902,20.135902,28.757137,2.9818792
636300,146.64017,34.223843,34.223843,156.39009,11.489009
637200,438.50235,52.974,52.974,421.27954,29.867935
638100,752.41907,73.10903,73.10903,641.25354,47.625484
639000,910.01904,91.99765,91.99765,685.63916,55.040833
