Time,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.costs_elec
489600,0.7323636,139.78749
490500,0.7323636,140.47342
491400,0.7323636,141.18892
492300,0.7323636,142.1317
493200,0.8162154,143.55658
494100,0.8162154,145.12709
495000,0.8162154,146.66093
495900,0.8162154,148.16052
496800,0.81422037,149.64513
497700,0.81422037,151.11093
498600,0.81422037,152.55588
499500,0.81422037,153.98782
500400,0.73096406,155.40735
501300,0.73096406,156.24509
502200,0.73096406,157.02448
503100,0.73096406,157.81172
504000,0.6733755,158.58679
504900,0.6733755,159.29976
505800,0.6733755,159.8757
506700,0.6733755,160.4143
507600,0.6202832,160.9585
508500,0.6202832,161.46951
509400,0.6202832,161.9896
510300,0.6202832,162.52887
511200,0.5322626,163.06674
512100,0.5322626,163.30196
513000,0.5322626,163.50298
513900,0.5322626,163.69046
514800,0.3713183,163.88112
515700,0.3713183,164.01202
516600,0.3713183,164.14171
517500,0.3713183,164.26698
518400,0.38388416,164.3886
519300,0.38388416,164.469
520200,0.38388416,164.47488
521100,0.38388416,164.48076
522000,0.35255885,164.48657
522900,0.35255885,164.49194
523800,0.35255885,164.49736
524700,0.35255885,164.50839
525600,0.30673215,164.51993
526500,0.30673215,164.53006
527400,0.30673215,164.54013
528300,0.30673215,164.54897
529200,0.3034567,164.55638
530100,0.3034567,164.56815
531000,0.3034567,164.57982
531900,0.3034567,164.59163
532800,0.30366513,164.5978
533700,0.30366513,164.60252
534600,0.30366513,164.60721
535500,0.30366513,164.61188
536400,0.3424049,164.61647
537300,0.3424049,164.62167
538200,0.3424049,164.62688
539100,0.3424049,164.63205
540000,0.41744277,164.6373
540900,0.41744277,164.64365
541800,0.41744277,164.65007
542700,0.41744277,164.6564
543600,0.45451504,164.66277
544500,0.45451504,165.08556
545400,0.45451504,165.59828
546300,0.45451504,166.25122
547200,0.4793192,166.74397
548100,0.4793192,167.02203
549000,0.4793192,167.45442
549900,0.4793192,167.77542
550800,0.4819396,167.93343
551700,0.4819396,168.10406
552600,0.4819396,168.2307
553500,0.4819396,168.35333
554400,0.4805103,168.47438
555300,0.4805103,169.01816
556200,0.4805103,169.47862
557100,0.4805103,169.83858
558000,0.4944757,170.21185
558900,0.4944757,170.58287
559800,0.4944757,170.96751
560700,0.4944757,171.36104
561600,0.49590498,171.77086
562500,0.49590498,172.36981
563400,0.49590498,173.4593
564300,0.49590498,174.66513
