Electricity.Timestep;Sum [kWh]
13980;0.072627057
13995;0.076211956
14010;0.122787685
14025;0.169214284
14040;0.119650623
14055;0.137192512
14070;0.125768834
14085;0.127518097
14100;0.127538873
14115;0.126676771
14130;0.124828327
14145;0.278903205
14160;0.356638525
14175;0.366150936
14190;0.403211912
14205;0.164085736
14220;0.178179707
14235;0.112143854
14250;0.094577905
14265;0.197847746
14280;0.710874884
14295;0.659089352
14310;0.561970738
14325;0.562756897
14340;0.477924538
14355;0.543604101
14370;0.544606836
14385;0.132246413
14400;0.015113873
14415;0.015713948
14430;0.016110065
14445;0.015967494
14460;0.016157597
14475;0.015955131
14490;0.015711162
14505;0.034519643
14520;0.05578489
14535;0.055613725
14550;0.05478936
14565;0.041499365
14580;0.019663892
14595;0.015026279
14610;0.01550309
14625;0.015289415
14640;0.015089093
14655;0.015258923
14670;0.015314418
14685;0.01514529
14700;0.015089076
14715;0.015197268
14730;0.015112282
14745;0.015491206
14760;0.04779005
14775;0.073004638
14790;0.498042021
14805;0.514012347
14820;0.555230061
14835;0.67939251
14850;0.558092396
14865;0.356131954
14880;0.323261603
14895;0.216032829
14910;0.054492041
14925;0.054607108
14940;0.041301605
14955;0.033080039
14970;0.505175715
14985;0.518811235
15000;0.502982868
15015;0.135773418
15030;0.05895275
15045;0.057176952
15060;0.060349585
15075;0.384151189
15090;0.814151458
15105;0.54824113
15120;0.118485291
15135;0.082391839
15150;0.05005013
15165;0.022786575
15180;0.027718321
15195;0.031095869
15210;0.031620773
15225;0.036361955
15240;0.036192305
15255;0.036128087
15270;0.036215132
15285;0.032052771
15300;0.027794379
15315;0.028870997
15330;0.030918565
15345;0.030774957
15360;0.030961755
15375;0.092943152
15390;0.137976601
15405;0.126454453
15420;0.12728293
15435;0.146546475
15450;0.133093501
15465;0.139094275
15480;0.140203296
15495;0.135586079
15510;0.11770993
15525;0.118315429
15540;0.116442473
15555;0.143319689
15570;0.213858374
15585;0.381082824
15600;0.435017484
15615;0.422724823
15630;0.388552483
15645;0.165452917
15660;0.11138335
15675;0.123896995
15690;0.122644088
15705;0.124402663
15720;0.126671278
15735;0.079384843
15750;0.070498578
15765;0.066675196
15780;0.087421527
15795;0.088659109
15810;0.073665087
15825;0.026147689
15840;0.015515105
15855;0.015136664
15870;0.015103993
15885;0.015160186
15900;0.015489377
15915;0.016307665
15930;0.015911298
15945;0.016204266
15960;0.021492664
15975;0.034277189
15990;0.032914867
16005;0.032696356
16020;0.028268534
16035;0.020440635
16050;0.037966324
16065;0.038612379
16080;0.038089444
16095;0.028545047
16110;0.015285465
16125;0.0153213
16140;0.015125654
16155;0.015377313
16170;0.015505286
16185;0.01542897
16200;0.497713066
16215;0.478320602
16230;0.154782143
16245;0.067487629
16260;0.066882836
16275;0.08223457
16290;0.084286232
16305;0.08433038
16320;0.073645129
16335;0.040005338
16350;0.052473761
16365;0.610419442
16380;0.44297615
16395;0.045852406
16410;0.01615727
16425;0.19609861
16440;0.495474265
16455;0.053674473
16470;0.075807955
16485;0.043619702
16500;0.052889826
16515;0.462011646
16530;0.812689881
16545;0.626138152
16560;0.097055517
16575;0.073852785
16590;0.069783462
16605;0.038322576
16620;0.037897262
16635;0.184316388
16650;0.66199453
16665;0.63958932
16680;0.617823695
16695;0.532107306
16710;0.551029529
16725;0.471673308
16740;0.511058056
16755;0.559334134
16770;0.538117792
16785;0.053939438
16800;0.018683374
16815;0.103173449
16830;0.10619333
16845;0.103206289
16860;0.102587935
16875;0.089717513
16890;0.085049416
16905;0.115079457
16920;0.148692403
16935;0.156398968
16950;0.171389574
16965;0.205721567
16980;0.346172921
16995;0.409644375
17010;0.407888163
17025;0.408049175
17040;0.340547813
17055;0.131671725
17070;0.132783181
17085;0.106530778
17100;0.057472891
17115;0.058033962
17130;0.046405252
17145;0.040361963
17160;0.033389439
17175;0.025410692
17190;0.037223623
17205;0.038182743
17220;0.037661707
17235;0.024463628
17250;0.015275627
17265;0.015254193
17280;0.015193928
17295;0.015099596
17310;0.015305706
17325;0.016253952
17340;0.025547644
17355;0.03357181
17370;0.033502088
17385;0.033778328
17400;0.018101689
17415;0.015261376
17430;0.015214434
17445;0.015206422
17460;0.016644353
17475;0.037450342
17490;0.037882974
17505;0.038108576
17520;0.03240355
17535;0.015351055
17550;0.015280043
17565;0.015373068
17580;0.015298799
17595;0.015127979
17610;0.015320622
17625;0.038041381
17640;0.037362845
17655;0.452229742
17670;0.514992563
17685;0.334463482
17700;0.122151558
17715;0.112924682
17730;0.193260213
17745;0.114554115
17760;0.109372127
17775;0.429152219
17790;0.45029287
17805;0.129904483
17820;0.041593303
17835;0.390768029
17850;0.312825443
17865;0.425715178
17880;0.580056945
17895;0.148540505
17910;0.167012106
17925;0.456082248
17940;0.134570475
17955;0.4066208
17970;0.735805182
17985;0.750932747
18000;0.056265561
18015;0.017718541
18030;0.014974866
18045;0.018248206
18060;0.038143519
18075;0.653827743
18090;0.70358728
18105;0.887797486
18120;0.722414182
18135;0.543931584
18150;0.527920107
18165;0.487564869
18180;0.052211857
18195;0.037493726
18210;0.019719055
18225;0.033580618
18240;0.037111077
18255;0.101828296
18270;0.126548698
18285;0.10915068
18300;0.108925579
18315;0.115877322
18330;0.141315279
18345;0.106329795
18360;0.129145338
18375;0.131621929
18390;0.100920771
18405;0.245519222
18420;0.360346918
18435;0.36087498
18450;0.264889
18465;0.150944168
18480;0.154051394
18495;0.239196313
18510;0.139619883
18525;0.126510571
18540;0.21342583
18555;0.26748581
18570;0.142014849
18585;0.082588843
18600;0.061854791
18615;0.061256745
18630;0.061530942
18645;0.015104464
18660;0.01506383
18675;0.015282899
18690;0.014963804
18705;0.015470141
18720;0.015421172
18735;0.026294605
18750;0.037647974
18765;0.038087245
18780;0.036795023
18795;0.045902958
18810;0.035479471
18825;0.032808367
18840;0.032473397
18855;0.024335054
18870;0.015603675
18885;0.016004791
18900;0.015932443
18915;0.016065632
18930;0.016218751
18945;0.016054533
18960;0.015621248
18975;0.015389719
18990;0.015038337
19005;0.01553636
19020;0.015261705
19035;0.015132096
19050;0.015295737
19065;0.015372318
19080;0.021374494
19095;0.079581617
19110;0.192263479
19125;0.648111648
19140;0.523948622
19155;0.256794877
19170;0.10476616
19185;0.115050988
19200;0.093387846
19215;0.039162964
19230;0.424265635
19245;0.432971035
19260;0.234577742
19275;0.158788223
19290;0.505338999
19305;0.50896405
19320;0.528820175
19335;0.523259778
19350;0.164339325
19365;0.040320883
19380;0.052629522
19395;0.054861794
19410;0.053843445
19425;0.068760848
19440;0.063930328
19455;0.06298845
19470;0.079258446
19485;0.673737814
19500;0.828497339
19515;0.066916754
19530;0.020674406
19545;0.01586591
19560;0.015408182
19575;0.024285201
19590;0.041059989
19605;0.041362515
19620;0.042150826
19635;0.041709664
19650;0.041322122
19665;0.042030347
19680;0.041187593
19695;0.116959388
19710;0.144946269
19725;0.186762864
19740;0.199317279
19755;0.134870366
19770;0.12407381
19785;0.108238629
19800;0.11447404
19815;0.135657644
19830;0.279375082
19845;0.399734627
19860;0.399093844
19875;0.397047858
19890;0.190547788
19905;0.140632657
19920;0.130262723
19935;0.090271747
19950;0.082327977
19965;0.055348356
19980;0.055864309
19995;0.076008996
20010;0.107875491
20025;0.139328707
20040;0.147792463
20055;0.147203708
20070;0.130631747
20085;0.074771799
20100;0.065504986
20115;0.038635472
20130;0.015522459
20145;0.015090368
20160;0.014833306
20175;0.015145626
20190;0.015498368
20205;0.015340076
20220;0.015209214
20235;0.015297891
20250;0.015077112
20265;0.015155088
20280;0.014968332
20295;0.027312738
20310;0.033160957
20325;0.033988779
20340;0.056003088
20355;0.043585233
20370;0.038376093
20385;0.038376918
20400;0.022580764
20415;0.014971141
20430;0.015070101
20445;0.015897952
20460;0.016089137
20475;0.016105504
20490;0.016281471
20505;0.015876149
20520;0.015981192
20535;0.016088454
20550;0.015435676
20565;0.032281835
20580;0.068963768
20595;0.350666497
20610;0.467589052
20625;0.31908595
20640;0.142557381
20655;0.027229641
20670;0.037031112
20685;0.044452006
20700;0.451553395
20715;0.486878943
20730;0.470825574
20745;0.475050717
20760;0.333370678
20775;0.085708954
20790;0.022159041
20805;0.021579545
20820;0.020631048
20835;0.020167977
20850;0.016580956
20865;0.015168903
20880;0.228243468
20895;0.701621082
20910;1.074799551
20925;1.339917146
20940;0.977949729
20955;0.57675705
20970;0.545526785
20985;0.543961595
21000;0.529651335
21015;0.136086849
21030;0.053405
21045;0.053691226
21060;0.055948443
21075;0.034907834
21090;0.031712348
21105;0.032523338
21120;0.026923726
21135;0.055810398
21150;0.119035779
21165;0.145287999
21180;0.153939752
21195;0.417485324
21210;0.151986683
21225;0.12156209
21240;0.127404782
21255;0.120126429
21270;0.10097562
21285;0.09584208
21300;0.097206894
21315;0.084080661
21330;0.094354982
21345;0.095313881
21360;0.07840759
21375;0.143585893
21390;0.336771208
21405;0.323216141
21420;0.310852098
21435;0.317711401
21450;0.227275776
21465;0.080038519
21480;0.082641434
21495;0.071526142
21510;0.039972031
21525;0.040400763
21540;0.033636598
21555;0.015985544
21570;0.016025325
21585;0.015938649
21600;0.016051837
21615;0.015829371
21630;0.015603553
21645;0.015338131
21660;0.015242052
21675;0.030104063
21690;0.037889172
21705;0.037566312
21720;0.023181647
21735;0.015122061
21750;0.030916442
21765;0.032531077
21780;0.032001842
21795;0.026346539
21810;0.015217863
21825;0.015472658
21840;0.015378345
21855;0.01497713
21870;0.015229703
21885;0.015248291
21900;0.025558955
21915;0.039153283
21930;0.038083951
21945;0.08463181
21960;0.094233531
21975;0.460252567
21990;0.549004792
22005;0.254400936
22020;0.579785432
22035;0.584080373
22050;0.411318107
22065;0.119514951
22080;0.078388676
22095;0.016163394
22110;0.016076812
22125;0.538168725
22140;0.087467972
