Time,QHeatTotal
2.27232e+07,0
2.27268e+07,0
2.27304e+07,0
2.2734e+07,0
2.27376e+07,0
2.27412e+07,0
2.27448e+07,0
2.27484e+07,0
2.2752e+07,0
2.27556e+07,0
2.27592e+07,0
2.27628e+07,0
2.27664e+07,0
2.277e+07,0
2.27736e+07,0
2.27772e+07,0
2.27808e+07,0
2.27844e+07,0
2.2788e+07,0
2.27916e+07,0
2.27952e+07,0
2.27988e+07,0
2.28024e+07,0
2.2806e+07,0
2.28096e+07,0
2.28132e+07,0
2.28168e+07,0
2.28204e+07,0
2.2824e+07,0
2.28276e+07,0
2.28312e+07,0
2.28348e+07,0
2.28384e+07,0
2.2842e+07,0
2.28456e+07,0
2.28492e+07,0
2.28528e+07,0
2.28564e+07,0
2.286e+07,0
2.28636e+07,0
2.28672e+07,0
2.28708e+07,0
2.28744e+07,0
2.2878e+07,0
2.28816e+07,0
2.28852e+07,0
2.28888e+07,0
2.28924e+07,0
2.2896e+07,0
2.28996e+07,0
2.29032e+07,0
2.29068e+07,0
2.29104e+07,0
2.2914e+07,0
2.29176e+07,0
2.29212e+07,0
2.29248e+07,0
2.29284e+07,0
2.2932e+07,0
2.29356e+07,0
2.29392e+07,0
2.29428e+07,0
2.29464e+07,0
2.295e+07,0
2.29536e+07,0
2.29572e+07,0
2.29608e+07,0
2.29644e+07,0
2.2968e+07,0
2.29716e+07,0
2.29752e+07,0
2.29788e+07,0
2.29824e+07,0
2.2986e+07,0
2.29896e+07,0
2.29932e+07,0
2.29968e+07,0
2.30004e+07,0
2.3004e+07,0
2.30076e+07,0
2.30112e+07,0
2.30148e+07,0
2.30184e+07,0
2.3022e+07,0
2.30256e+07,0
2.30292e+07,0
2.30328e+07,0
2.30364e+07,0
2.304e+07,0
2.30436e+07,0
2.30472e+07,0
2.30508e+07,0
2.30544e+07,0
2.3058e+07,0
2.30616e+07,0
2.30652e+07,0
2.30688e+07,0
2.30724e+07,0
2.3076e+07,0
2.30796e+07,0
2.30832e+07,0
2.30868e+07,0
2.30904e+07,0
2.3094e+07,0
2.30976e+07,0
2.31012e+07,0
2.31048e+07,0
2.31084e+07,0
2.3112e+07,0
2.31156e+07,0
2.31192e+07,0
2.31228e+07,0
2.31264e+07,0
2.313e+07,0
2.31336e+07,0
2.31372e+07,0
2.31408e+07,0
2.31444e+07,0
2.3148e+07,0
2.31516e+07,0
2.31552e+07,0
2.31588e+07,0
2.31624e+07,0
2.3166e+07,0
2.31696e+07,0
2.31732e+07,0
2.31768e+07,0
2.31804e+07,0
2.3184e+07,0
2.31876e+07,0
2.31912e+07,0
2.31948e+07,0
2.31984e+07,0
2.3202e+07,0
2.32056e+07,0
2.32092e+07,0
2.32128e+07,0
2.32164e+07,0
2.322e+07,0
2.32236e+07,0
2.32272e+07,0
2.32308e+07,0
2.32344e+07,0
2.3238e+07,0
2.32416e+07,0
2.32452e+07,0
2.32488e+07,0
2.32524e+07,0
2.3256e+07,0
2.32596e+07,0
2.32632e+07,0
2.32668e+07,0
2.32704e+07,0
2.3274e+07,0
2.32776e+07,0
2.32812e+07,0
2.32848e+07,0
2.32884e+07,0
2.3292e+07,0
2.32956e+07,0
2.32992e+07,0
2.33028e+07,0
2.33064e+07,0
2.331e+07,0
2.33136e+07,0
2.33172e+07,0
2.33208e+07,0
2.33244e+07,0
2.3328e+07,0
2.33316e+07,0
2.33352e+07,0
2.33388e+07,0
2.33424e+07,0
2.3346e+07,0
2.33496e+07,0
2.33532e+07,0
2.33568e+07,0
2.33604e+07,0
2.3364e+07,0
2.33676e+07,0
2.33712e+07,0
2.33748e+07,0
2.33784e+07,0
2.3382e+07,0
2.33856e+07,0
2.33892e+07,0
2.33928e+07,0
2.33964e+07,0
2.34e+07,0
2.34036e+07,0
2.34072e+07,0
2.34108e+07,0
2.34144e+07,0
2.3418e+07,0
2.34216e+07,0
2.34252e+07,0
2.34288e+07,0
2.34324e+07,0
2.3436e+07,0
2.34396e+07,0
2.34432e+07,0
2.34468e+07,0
2.34504e+07,0
2.3454e+07,0
2.34576e+07,0
2.34612e+07,0
2.34648e+07,0
2.34684e+07,0
2.3472e+07,0
2.34756e+07,0
2.34792e+07,0
2.34828e+07,0
2.34864e+07,0
2.349e+07,0
2.34936e+07,0
2.34972e+07,0
2.35008e+07,0
2.35044e+07,0
2.3508e+07,0
2.35116e+07,0
2.35152e+07,0
2.35188e+07,0
2.35224e+07,0
2.3526e+07,0
2.35296e+07,0
2.35332e+07,0
2.35368e+07,0
2.35404e+07,0
2.3544e+07,0
2.35476e+07,0
2.35512e+07,0
2.35548e+07,0
2.35584e+07,0
2.3562e+07,0
2.35656e+07,0
2.35692e+07,0
2.35728e+07,0
2.35764e+07,0
2.358e+07,0
2.35836e+07,0
2.35872e+07,0
2.35908e+07,0
2.35944e+07,0
