Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
2228400,0,6245.245,273.05,0
2232000,0,7001.9033,273.05,0
2235600,0,7303.851,272.55,0
2239200,0,92.95281,272.25,0
2242800,0,0,272.05,0
2246400,0,0,271.75,0
2250000,0,0,271.35,0
2253600,0,0,271.45,0
2257200,0,0,271.75,0
2260800,0,0,271.75,0
2264400,0,0,271.85,0
2268000,0,0,271.75,0
2271600,0,0,271.95,0
2275200,0,3913.6099,271.95,7.512097
2278800,0,7803.915,272.05,46.00576
2282400,0,7440.982,272.15,75.47872
2286000,0,6920.9575,271.95,119.659164
2289600,0,6150.742,272.45,126.816185
2293200,0,5964.4614,272.45,86.675804
2296800,0,5921.229,272.45,58.54672
2300400,0,5524.1646,272.65,58.781303
2304000,0,4919.2617,272.55,29.268003
2307600,0,4971.764,272.15,0.25625
2311200,0,5092.26,271.85,0
2314800,0,5165.096,271.55,0
2318400,0,5109.6855,271.45,0
2322000,0,6004.199,271.25,0
2325600,0,0,270.15,0
2329200,0,0,269.75,0
2332800,0,0,269.45,0
2336400,0,0,268.85,0
2340000,0,0,268.45,0
2343600,0,0,268.35,0
2347200,0,0,268.35,0
2350800,0,0,268.85,0
2354400,0,0,269.45,0
2358000,0,0,269.75,0
2361600,0,4385.0313,270.15,6.9140625
2365200,0,8343.456,270.35,63.09081
2368800,0,7644.6084,270.95,131.23314
2372400,0,6465.322,271.65,218.69733
2376000,0,4967.3184,272.75,303.6254
2379600,0,3788.1946,273.85,308.08093
2383200,0,3008.473,274.85,204.54584
2386800,0,3177.8352,274.25,73.53853
2390400,0,3581.5964,273.85,8.950029
2394000,0,3804.5596,272.65,0.32394367
2397600,0,4098.552,271.65,0
2401200,0,4352.5283,271.05,0
2404800,0,4396.9595,270.95,0
2408400,0,5371.732,270.65,0
2412000,0,0,269.85,0
2415600,0,0,269.35,0
2419200,0,0,268.85,0
2422800,0,0,268.75,0
2426400,0,0,268.55,0
2430000,0,0,268.45,0
2433600,0,0,268.25,0
2437200,0,0,268.25,0
2440800,0,0,267.55,0
2444400,0,0,267.25,0
2448000,0,3102.8967,266.75,9.02
2451600,0,7147.9565,267.35,99.443634
2455200,0,5899.548,269.65,209.82947
2458800,0,4195.3403,271.45,301.77432
2462400,0,2873.8132,273.75,338.6826
2466000,0,1961.6423,273.85,325.75
2469600,0,1071.9353,274.75,270.86365
2473200,0,159.87912,274.85,165.16396
2476800,0,349.53018,273.85,38.664722
2480400,0,1574.4185,272.05,0
2484000,0,2365.601,270.45,0
2487600,0,3757.5862,269.45,0
2491200,0,4878.004,269.35,0
2494800,0,5469.53,268.45,0
2498400,0,0,268.15,0
2502000,0,0,267.55,0
2505600,0,0,267.45,0
2509200,0,0,267.05,0
2512800,0,0,266.85,0
2516400,0,0,266.25,0
2520000,0,0,265.75,0
2523600,0,0,266.25,0
2527200,0,0,267.65,0
2530800,0,0,268.15,0
2534400,0,2453.2322,268.65,8.514085
2538000,0,6260.234,269.25,55.10701
2541600,0,6485.159,269.65,83.29297
2545200,0,6209.9585,270.55,93.39844
2548800,0,5743.0225,271.35,109.5625
2552400,0,5363.374,272.05,112.88298
2556000,0,5078.946,272.45,101.800354
2559600,0,4566.156,272.85,83.01728
2563200,0,4150.4565,272.95,28.16605
2566800,0,4223.665,272.55,0.25833333
2570400,0,4449.1255,271.45,0
2574000,0,5519.1035,270.65,0
2577600,0,6502.0684,269.95,0
2581200,0,6985.6987,269.25,0
2584800,0,0,268.75,0
2588400,0,0,268.45,0
2592000,0,0,267.95,0
2595600,0,0,267.75,0
2599200,0,0,267.05,0
2602800,0,0,266.15,0
2606400,0,0,265.95,0
2610000,0,0,265.45,0
